TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
AKAM,87299,00971T10,19991216,20220331,1
AKAO,14530,00444910,20140320,20190425,1
AKAO,,,20190516,,6
AKBA,14531,00972D10,20140417,20220331,1
AKCA,16814,00972L10,20170817,20201009,1
AKHN,,,20060817,20071219,6
AKHN,93149,98884U10,20091110,20210222,1
AKIT,,,20011220,20061115,6
AKIT,18058,88579C10,20180810,20190428,1
AKIT,18058,70451A10,20190516,20220331,1
AKRN,10180,00972810,19890216,20200529,1
AKST,80303,00154710,19940616,20200312,1
AKTS,16625,00973N10,20170313,20220331,1
ALAL,12641,00912X30,20110616,20220331,1
ALB1,80191,01265310,19940317,20220331,1
ALBA,,,20050317,20070117,6
ALBA,91665,39060710,20070118,20220331,1
ALD,48733,01441910,19760115,19760314,5
ALD,10145,01908710,19810428,19840314,5
ALD,10145,01951210,19850919,19991201,1
ALD,10145,43851610,19991216,20220331,1
ALDR,14646,01433910,20140619,20191021,1
ALDX,14647,01438T10,20140717,20220331,1
ALEX,11691,01448210,19770818,20120606,1
ALEX,11691,01448110,20120614,20120701,1
ALEX,11691,57686G10,20120719,20220331,1
ALGG,91659,01748X10,20061208,20220331,1
ALGN,88860,01625510,20010315,20220331,1
ALK,28804,01166210,19780615,19850213,5
ALK,28804,01165910,19850523,20220331,1
ALKS,76736,01642T10,19911017,20110918,1
ALKS,76736,G0176710,20111020,20220331,1
ALL1,79323,02000210,19930617,20220331,1
ALLK,17948,01671P10,20180816,20220331,1
ALLM,82292,01975410,19951116,20051130,1
ALLM,82292,41086710,20051215,20220331,1
ALLY,14558,02005N10,20140515,20220331,1
ALMO,78950,01131110,19930520,20220331,1
ALNY,90178,02043Q10,20040617,20220331,1
ALOG,14198,03265720,19791115,20180622,1
ALPC,83922,01586910,19961114,20000717,1
ALS1,75002,01690010,19870618,19960815,1
ALS1,43123,01741510,19960919,19991129,1
ALS1,43123,01741R10,19991216,20220331,1
ALSK,87373,01167P10,19991216,20201231,1
ALSN,13284,01973R10,20120419,20220331,1
ALV,84656,05280010,19970717,20220331,1
ALXE,13429,01449110,20120719,20220331,1
ALXN,83111,01535110,19960418,20210720,1
AMAT,14702,03822210,19780518,20220331,1
AMCR,10158,02361E10,20100819,20220331,1
AMCV,12880,00164V10,20110714,20220331,1
AMD,61241,00790310,19760115,20220331,1
AMDS,,,20031016,20131016,6
AMDS,14440,76129910,20140110,20201118,1
AMDS,14440,89422G10,20201119,20220331,1
AME,10460,03110510,19760115,19970731,1
AMER,77418,02364J10,19920514,20010111,1
AMER,77418,00184A10,20010118,20031015,1
AMER,77418,88731710,20031016,20090329,1
AMER,77418,88731730,20090416,20180614,1
AMES,90963,03071H10,20051215,20220331,1
AMG,85593,00825210,19980115,20220331,1
AMGN,14008,03116210,19831117,20220331,1
AMH1,76788,02649V10,19911114,20060131,1
AMH1,76788,42224510,20060216,20170110,1
AMH1,76788,88870R10,20170119,20220331,1
AMKR,86047,03165210,19980618,20220331,1
AMLI,93339,01625910,20100520,20191114,1
AMLI,93339,01625920,20191219,20220331,1
AMNB,86814,02774510,19990423,20220331,1
AMPW,90880,03076C10,20051003,20220331,1
AMR,21020,02377110,19760115,19820414,5
AMR,21020,00176510,19821001,20131208,1
AMR,21020,02376R10,20131219,20220331,1
AMRR,12307,03236M10,20101014,20170605,1
AMRR,12307,03236M20,20180719,20220331,1
AMSC,77175,03011110,19930318,20150324,1
AMSC,77175,03011120,20150416,20220331,1
AMSG,85676,03232P20,19971218,19990519,1
AMSG,85675,03232P10,19990520,20010712,1
AMSG,85675,03232P40,20010719,20161201,1
AMSG,85675,29414D10,20161215,20181010,1
AMSW,13777,02968310,19830714,20220331,1
AMT1,75853,03232910,19900517,19980831,1
AMT1,75853,23204610,19980917,19990930,1
AMT1,75853,98974P10,19991014,20211222,1
AMT2,86111,02991220,19980716,20120102,1
AMT2,86111,03027X10,20120119,20220331,1
AMTD,84597,03072H10,19970417,20020909,1
AMTD,84597,03074K10,20021017,20060124,1
AMTD,84597,87236Y10,20060216,20201005,1
AMWD,10501,03050610,19861016,20220331,1
AMZN,84788,02313510,19970619,20220331,1
ANAB,16562,03272410,20170316,20220331,1
ANAT,13507,02859110,19791115,20181231,1
ANDE,83112,03416410,19960516,20220331,1
ANF,83976,00289620,19961114,20220331,1
ANGI,13106,03475410,20120119,20170929,1
ANGI,16921,00183L10,20171019,20220331,1
ANGO,90179,03475V10,20040715,20220331,1
ANIK,79150,03525510,19970515,20220331,1
ANSR,86048,03691610,19980716,20080101,1
ANSR,86048,40460910,20080117,20220331,1
ANSS,83621,03662Q10,19960815,20220331,1
ANTE,79564,03664P10,19931118,20010805,1
ANTE,79564,04269Q10,20010816,20130415,1
ANTE,79564,04270V10,20130418,20160104,1
ANTE,79564,G0551A10,20160114,20190403,1
ANTH,93300,03674U10,20100318,20130714,1
ANTH,93300,03674U20,20130718,20170430,1
ANTH,93300,03674U30,20170518,20180627,1
AOVG,93002,Y0486S10,20090917,20160131,1
AOVG,93002,Y0982710,20160218,20180404,1
AOVG,93002,11135F10,20180419,20220331,1
AP,18075,03203710,19780720,20220331,1
APA,39490,03741110,19770616,20210301,1
APA,39490,03743Q10,20210318,20220331,1
APAM,13802,04316A10,20130418,20220331,1
APC,70332,03251110,19861002,20190808,1
APD,28222,00915810,19760115,20220331,1
APDN,,,20030515,20070117,6
APDN,15057,03815U20,20141117,20191031,1
APDN,15057,03815U30,20191114,20220331,1
APEI,92428,02913V10,20071115,20220331,1
APH1,77118,03209420,19920116,19970519,1
APH1,84769,03209510,19970619,20220331,1
APNB,,,20030220,20060215,6
APNB,92213,04534610,20070828,20110728,1
APNB,92213,04534620,20110818,20120619,1
APNB,92213,04534630,20120719,20121219,1
APNB,92213,92262A10,20121220,20160330,1
APNB,92213,92262A20,20160414,20161211,1
APNB,92213,09074N10,20161215,20171018,1
APNB,92213,76729210,20171019,20220331,1
APOG,14526,03759810,19810820,20220331,1
APOO,12591,03761230,20110519,20190904,1
APOO,12591,03768E10,20190919,20220102,1
APOO,12591,03769M10,20220120,20220331,1
APOS,11636,00754G10,19880818,20010513,1
APOS,11636,00202J10,20010517,20070524,1
APOS,11636,00202J20,20070614,20140112,1
APOS,11636,42774610,20140116,20220331,1
APPF,15410,03783C10,20150820,20220331,1
APVO,16146,03835L10,20160818,20200326,1
APVO,16146,03835L20,20200416,20220331,1
APWR,11581,03822510,19870805,20000912,1
APWR,11581,00508X10,20000914,20010124,1
APWR,11581,00508X20,20010215,20200128,1
APWR,11581,29276510,20200220,20220331,1
APYWI,17783,03755L10,20180517,20200513,1
APYWI,17783,15872M10,20200604,20220331,1
AQMS,15493,03837J10,20151119,20220331,1
AQUA,17035,30057T10,20171214,20220331,1
AQXP,14535,03842B10,20140417,20190811,1
AQXP,14535,64049K10,20190815,20220331,1
ARAR,14179,03674X10,20131017,20220331,1
ARCO,90037,00827310,20040318,20070731,1
ARCO,90037,43274810,20070816,20220331,1
ARCW,,,20030717,20070214,6
ARCW,91954,03878K20,20070410,20120807,1
ARCW,91954,00213H10,20120816,20190630,1
ARDM,83622,03850510,19960718,20060104,1
ARDM,83622,03850530,20060119,20140522,1
ARDM,83622,03850540,20140619,20190114,1
ARDM,,,20190314,20201231,6
ARDX,14690,03969710,20140717,20220331,1
AREX,92429,03834A10,20071115,20191111,1
AREX,,,20191219,,6
ARGN,79248,03070L30,20000420,20120906,1
ARGN,79248,37253A10,20120920,20220331,1
ARIC,91814,00439710,20070215,20220331,1
ARII,91075,02916P10,20060216,20181204,1
ARMK,14329,03852U10,20131219,20220331,1
ARNA,88421,04004710,20000914,20170618,1
ARNA,88421,04004760,20170720,20220310,1
