TICKER,PERMNO,ANNDATS,RET,PRC,VOL,RET_1,PRC_1
ACHN,91491.0,20180222.0,-0.016667,2.95,3282933.0,0.001695,2.955
ACHN,91491.0,20181107.0,0.037288,3.06,2320933.0,-0.022876,2.99
ACHN,91491.0,20190509.0,0.021583,2.84,1053312.0,0.024648,2.91
ACIA,16051.0,20191030.0,-0.002297,65.16,148521.0,0.007673,65.66
ACIA,16051.0,20190806.0,0.001231,65.06,813720.0,-0.011374,64.32
ACIA,16051.0,20180222.0,-0.036832,41.84,865516.0,-0.114484,37.05
ACIA,16051.0,20200810.0,-0.000439,68.27,366425.0,0.000879,68.33
ACIA,16051.0,20181101.0,0.058312,36.48,865134.0,0.226700,44.75
ACIA,16051.0,20180802.0,0.038568,33.66,1171075.0,0.126857,37.93
ACIA,16051.0,20201109.0,0.005991,68.85,1331112.0,0.000581,68.89
ACIA,16051.0,20190502.0,0.001654,60.55,880821.0,-0.025599,59.0
ACIA,16051.0,20200218.0,-0.000145,68.81,142638.0,-0.002035,68.67
ACIA,16051.0,20180503.0,0.001377,29.08,1357732.0,0.007565,29.3
ACIA,16051.0,20190221.0,0.012449,47.17,1326992.0,0.175535,55.45
ACIA,16051.0,20200504.0,0.003101,67.94,656241.0,0.005299,68.3
ACLS,88417.0,20220504.0,,,,,
ACLS,88417.0,20200205.0,0.025347,25.89,225794.0,0.081112,27.99
ACLS,88417.0,20220207.0,,,,,
ACLS,88417.0,20180502.0,0.015556,22.85,301902.0,-0.074398,21.15
ACLS,88417.0,20201105.0,0.042746,25.37,279321.0,-0.043752,24.26
ACLS,88417.0,20210504.0,,,,,
ACLS,88417.0,20180802.0,0.024608,22.9,515169.0,0.013100,23.2
ACLS,88417.0,20210804.0,,,,,
ACLS,88417.0,20181101.0,0.079954,18.64,270907.0,-0.030311,18.075
ACLS,88417.0,20180206.0,0.018868,24.3,746327.0,-0.016461,23.9
ACLS,88417.0,20191031.0,-0.023931,19.17,240243.0,0.088680,20.87
ACLS,88417.0,20211103.0,,,,,
ACLS,88417.0,20210210.0,,,,,
ACLS,88417.0,20200505.0,0.016533,22.75,307653.0,0.123516,25.56
ACLS,88417.0,20190507.0,-0.005435,21.96,360701.0,-0.131148,19.08
ACLS,88417.0,20190206.0,0.034355,22.28,280091.0,0.001795,22.32
ACLS,88417.0,20190806.0,-0.004639,15.02,228009.0,-0.008655,14.89
ACLS,88417.0,20200804.0,-0.026232,30.44,501828.0,-0.137648,26.25
ACLS,88417.0,20220803.0,,,,,
ACLS,88417.0,20220504.0,,,,,
ACLS,88417.0,20200205.0,0.025347,25.89,225794.0,0.081112,27.99
ACLS,88417.0,20220207.0,,,,,
ACLS,88417.0,20180502.0,0.015556,22.85,301902.0,-0.074398,21.15
ACLS,88417.0,20201105.0,0.042746,25.37,279321.0,-0.043752,24.26
ACLS,88417.0,20210504.0,,,,,
ACLS,88417.0,20180802.0,0.024608,22.9,515169.0,0.013100,23.2
ACLS,88417.0,20210804.0,,,,,
ACLS,88417.0,20181101.0,0.079954,18.64,270907.0,-0.030311,18.075
ACLS,88417.0,20180206.0,0.018868,24.3,746327.0,-0.016461,23.9
ACLS,88417.0,20191031.0,-0.023931,19.17,240243.0,0.088680,20.87
ACLS,88417.0,20211103.0,,,,,
ACLS,88417.0,20210210.0,,,,,
ACLS,88417.0,20200505.0,0.016533,22.75,307653.0,0.123516,25.56
ACLS,88417.0,20190507.0,-0.005435,21.96,360701.0,-0.131148,19.08
ACLS,88417.0,20190206.0,0.034355,22.28,280091.0,0.001795,22.32
ACLS,88417.0,20190806.0,-0.004639,15.02,228009.0,-0.008655,14.89
ACLS,88417.0,20200804.0,-0.026232,30.44,501828.0,-0.137648,26.25
ACLS,88417.0,20220803.0,,,,,
ACRX,12573.0,20220310.0,,,,,
ACRX,12573.0,20191106.0,-0.059113,1.91,1858989.0,0.047120,2.0
ACRX,12573.0,20190307.0,0.041551,3.76,4798228.0,-0.130319,3.27
ACRX,12573.0,20181102.0,0.156627,4.8,20185130.0,-0.110417,4.27
ACRX,12573.0,20211115.0,,,,,
ACRX,12573.0,20200511.0,0.090323,1.69,2278383.0,-0.094675,1.53
ACRX,12573.0,20210816.0,,,,,
ACRX,12573.0,20190508.0,-0.014045,3.51,1758327.0,-0.094017,3.18
ACRX,12573.0,20180308.0,0.117647,1.9,999271.0,0.105263,2.1
ACRX,12573.0,20210517.0,,,,,
ACRX,12573.0,20180802.0,-0.018868,2.6,429611.0,0.076923,2.8
ACRX,12573.0,20200810.0,0.045455,1.38,2889606.0,-0.115942,1.22
ACRX,12573.0,20201105.0,0.021858,1.87,1402133.0,-0.224599,1.45
ACRX,12573.0,20220811.0,,,,,
ACRX,12573.0,20210315.0,,,,,
ACRX,12573.0,20180509.0,0.000000,2.5,358776.0,0.000000,2.5
ACRX,12573.0,20200316.0,-0.184563,0.8399,1849964.0,0.134897,0.9532
ACRX,12573.0,20190805.0,-0.004132,2.41,1294377.0,-0.053942,2.28
ACRX,12573.0,20220516.0,,,,,
